question_id,question_text,exam,paper,subject,chapter,topic,subtopic,difficulty,question_type,skip,skip_reason
Q_1_30,Consider the equation |x|^2 - 3|x| + 2 = 0. How many real roots does this equation have?,NDA,Mathematics,Algebra,Complex Numbers and Quadratic Equations,Quadratic Equations,Roots of equations involving absolute values,Medium,MCQ,FALSE,
Q_1_31,"If A is a square matrix such that A^2 = I, where I is the identity matrix, consider the statements: 1) A mus",NDA,Mathematics,Algebra,Matrices and Determinants,Types of Matrices,Properties of matrices (Involuntary matrix),Medium,MCQ,FALSE,
Q_1_32,What is the value of sin(20°)sin(40°)sin(80°)?,NDA,Mathematics,Trigonometry,Trigonometric Functions,Trigonometric Identities,Product identities,Medium,MCQ,FALSE,
Q_1_33,"The equation of the circle passing through (1, 0) and (0, 1) and having the smallest possible radius is:",NDA,Mathematics,Coordinate Geometry,Two Dimensional Geometry,Circles,Equation of a circle (diameter form),Medium,MCQ,FALSE,
Q_1_34,The value of the integral from 0 to π/2 of (sin^n x) / (sin^n x + cos^n x) dx is:,NDA,Mathematics,Calculus,Integral Calculus,Definite Integrals,Properties of definite integrals,Medium,MCQ,FALSE,
Q_1_35,"If the vectors a = i + j + k, b = i + j, and c = i + λj + μk are linearly dependent and |c| = sqrt(3), then:",NDA,Mathematics,Vector Algebra,Vectors,Linear Dependence and Independence of Vectors,Magnitude of a vector,Medium,MCQ,FALSE,
Q_1_36,Two dice are thrown. What is the probability that the sum of the numbers appearing on them is a prime number?,NDA,Mathematics,Probability,Statistics and Probability,Probability of Events,Dice problems,Medium,MCQ,FALSE,
Q_1_37,Consider the function f(x) = x^3 - 6x^2 + 9x + 5. The function is strictly decreasing in the interval:,NDA,Mathematics,Calculus,Differential Calculus (Maxima-Minima),Application of Derivatives,Increasing and Decreasing Functions,Medium,MCQ,FALSE,
Q_1_38,The angle between the lines x+y+1=0 and x-y+3=0 is:,NDA,Mathematics,Coordinate Geometry,Two Dimensional Geometry,Straight Lines,Angle between two lines,Easy,MCQ,FALSE,
Q_1_39,"If z = (1+i)/(1-i), then z^4 is equal to:",NDA,Mathematics,Algebra,Complex Numbers and Quadratic Equations,Complex Numbers,Powers of complex numbers,Easy,MCQ,FALSE,
Q_1_40,"If omega is a complex cube root of unity, what is the value of the determinant |1, omega, omega^2; omega, o",NDA,Mathematics,Algebra,Matrices and Determinants,Determinants,Properties of determinants (with complex numbers),Medium,MCQ,FALSE,
Q_1_41,Consider the lines x + y = 3 and 2x + 2y = 6. Which of the following statements is correct?,NDA,Mathematics,Coordinate Geometry,Two Dimensional Geometry,Straight Lines,"Parallel, intersecting, coincident lines",Easy,MCQ,FALSE,
Q_1_42,"If f(x) = |x| + |x-1|, then the derivative f'(x) at x = 0.5 is:",NDA,Mathematics,Calculus,"Limit, Continuity, Differentiability",Differentiability,Derivative of absolute value functions,Medium,MCQ,FALSE,
Q_1_43,What is the area of the region bounded by y = sin x and the x-axis from x = 0 to x = 2*pi?,NDA,Mathematics,Calculus,Integral Calculus,Application of Integrals,Area under the curve,Medium,MCQ,FALSE,
Q_1_44,"If a vector A = i + 2j + 3k is perpendicular to vector B = 2i - j + mk, what is the value of m?",NDA,Mathematics,Vector Algebra,Vectors,Scalar Product (Dot Product),Perpendicular vectors,Easy,MCQ,FALSE,
Q_1_45,"How many 3-digit numbers can be formed using digits 1, 2, 3, 4, 5 if repetition of digits is allowed?",NDA,Mathematics,Combinatorics,Statistics and Probability,Permutations and Combinations,Number formation with repetition,Easy,MCQ,FALSE,
Q_1_46,Consider the following statements for a square matrix A: 1. A is invertible if det(A) is not 0. 2. A*adj(A),NDA,Mathematics,Algebra,Matrices and Determinants,Inverse of a Matrix,Properties of adjoint and inverse,Medium,MCQ,FALSE,
Q_1_47,"If sin(theta) + cos(theta) = sqrt(2), what is the value of sin(theta) * cos(theta)?",NDA,Mathematics,Trigonometry,Trigonometric Functions,Trigonometric Identities,Basic identities,Easy,MCQ,FALSE,
Q_1_48,"The equation of the circle passing through (0,0), (2,0), and (0,2) is:",NDA,Mathematics,Coordinate Geometry,Two Dimensional Geometry,Circles,Equation of a circle through three points,Medium,MCQ,FALSE,
Q_1_49,"If the roots of the equation x^2 - kx + 16 = 0 are real and equal, then what is the value of k?",NDA,Mathematics,Algebra,Complex Numbers and Quadratic Equations,Quadratic Equations,Nature of roots (Discriminant),Easy,MCQ,FALSE,
Q_1_50,"If α and β are the roots of the equation x^2 - x + 1 = 0, then what is the value of α^2024 + β^2024?",NDA,Mathematics,Mathematics,Complex Numbers and Quadratic Equations,Quadratic Equations,"Roots of a quadratic equation, Powers of roots",Medium,MCQ,FALSE,
Q_1_51,"Consider the matrix A = [[cos θ, -sin θ], [sin θ, cos θ]]. Which of the following statements are",NDA,Mathematics,Mathematics,Matrices and Determinants,Properties of Matrices,"Orthogonal matrices, Matrix powers",Medium,MCQ,FALSE,
Q_1_52,"If the angle between the vectors a = i + j + k and b = i + j + λk is π/3, what is the value of λ?",NDA,Mathematics,Mathematics,Vectors,Dot Product of Vectors,Angle between two vectors,Medium,MCQ,FALSE,
Q_1_53,What is the area of the region bounded by y = |x-1| and y = 3 - |x|?,NDA,Mathematics,Mathematics,Integral Calculus,Area Under the Curve,"Area between two curves, Absolute value functions",Hard,MCQ,FALSE,
Q_1_54,Consider the expansion of (x^2 + 1/x)^12. Which statement is correct? 1. The constant term is 49,NDA,Mathematics,Mathematics,Sequences and Series,Binomial Theorem,"Constant term, General term in expansion",Medium,MCQ,FALSE,
Q_1_55,"A line passes through (2, 2) and is perpendicular to the line 3x + y = 3. What is the y-interce",NDA,Mathematics,Mathematics,Two Dimensional Geometry,Straight Lines,"Equation of a line, Perpendicular lines, Y-intercept",Easy,MCQ,FALSE,
Q_1_56,"If sin θ + cos θ = 1, then the value of sin 2θ is:",NDA,Mathematics,Mathematics,Trigonometric Functions,Trigonometric Identities,Double angle formulas,Easy,MCQ,FALSE,
Q_1_57,The derivative of f(x) = x^x with respect to x is:,NDA,Mathematics,Mathematics,"Limit, Continuity, Differentiability",Differential Calculus,"Logarithmic differentiation, Derivatives of transcendental functions",Medium,MCQ,FALSE,
Q_1_58,A box contains 5 red and 4 blue balls. Two balls are drawn at random. What is the probability t,NDA,Mathematics,Mathematics,Statistics and Probability,Probability,"Combinations, Event probability",Medium,MCQ,FALSE,
Q_1_59,What is the value of the determinant of a 3x3 identity matrix added to the matrix of all ones?,NDA,Mathematics,Mathematics,Matrices and Determinants,Determinants,"Properties of determinants, Matrix operations",Medium,MCQ,FALSE,
Q_1_60,"If alpha and beta are the roots of x^2 - x + 1 = 0, what is the value of alpha^2024 + beta^2024?",NDA,Mathematics,Mathematics,Complex Numbers and Quadratic Equations,Quadratic Equations,"Roots of a quadratic equation, Powers of roots",Medium,MCQ,FALSE,
Q_1_61,"Consider the matrix A = [[1, a], [0, 1]]. What is A^n for any positive integer n?",NDA,Mathematics,Mathematics,Matrices and Determinants,Properties of Matrices,"Matrix exponentiation, Powers of matrices",Medium,MCQ,FALSE,
Q_1_62,"If sin(x) + cos(x) = sqrt(2)cos(y), then what is the slope of the line connecting (x, y) coordi",NDA,Mathematics,Mathematics,Trigonometric Functions,Trigonometric Equations and Identities,"Linear equations in trigonometry, Slope of a line",Hard,MCQ,FALSE,
Q_1_63,A particle moves along a curve y = x^3 - 3x + 2. At which point is the tangent parallel to the l,NDA,Mathematics,Mathematics,Differential Calculus (Maxima-Minima),Applications of Derivatives,"Tangents and Normals, Slope of a tangent",Medium,MCQ,FALSE,
Q_1_64,"In a triangle ABC, if a^2, b^2, c^2 are in Arithmetic Progression, then which of the following i",NDA,Mathematics,Mathematics,Trigonometric Functions,Properties of Triangles,"Sine Rule, Cosine Rule, Arithmetic Progression",Hard,MCQ,FALSE,
Q_1_65,What is the area of the region bounded by y = |x| - 1 and the x-axis?,NDA,Mathematics,Mathematics,Integral Calculus,Area Under the Curve,Area bounded by absolute value functions,Medium,MCQ,FALSE,
Q_1_66,"If the vectors 2i + j - k, i - 4j + lambda k, and i + j + k are coplanar, find lambda.",NDA,Mathematics,Mathematics,Vectors,Scalar Triple Product,Coplanar vectors,Medium,MCQ,FALSE,
Q_1_67,Which of the following is the differential equation of all circles touching the x-axis at the o,NDA,Mathematics,Mathematics,Differential Equations,Formation of Differential Equations,"Family of curves, Circles",Hard,MCQ,FALSE,
Q_1_68,"If P(A) = 0.4, P(B) = 0.8, and P(B|A) = 0.6, what is P(A or B)?",NDA,Mathematics,Mathematics,Statistics and Probability,Probability,"Conditional probability, Union of events",Medium,MCQ,FALSE,
Q_1_69,The number of ways to arrange the letters of the word 'MATHEMATICS' such that vowels are always,NDA,Mathematics,Mathematics,Sequences and Series,Permutations and Combinations,"Arrangements with restrictions, Repeated letters",Medium,MCQ,FALSE,
Q_1_70,"If alpha and beta are the roots of the equation x^2 - px + q = 0, then the value of alpha^3 + ",NDA,Mathematics,Mathematics,Complex Numbers and Quadratic Equations,Quadratic Equations,"Roots of a quadratic equation, Symmetric expressions of roots",Medium,MCQ,FALSE,
Q_1_71,"Consider the matrix A = [[cos theta, -sin theta], [sin theta, cos theta]]. Which of the followi",NDA,Mathematics,Mathematics,Matrices and Determinants,Properties of Matrices,"Orthogonal matrices, Matrix powers, Determinant of a matrix",Medium,MCQ,FALSE,
Q_1_72,The value of sin^2(pi/8 + A/2) - sin^2(pi/8 - A/2) is:,NDA,Mathematics,Mathematics,Trigonometric Functions,Trigonometric Identities,"Compound angle formulas, Difference of squares",Medium,MCQ,FALSE,
Q_1_73,"The equation of the circle passing through (1, 1) and having its center at the origin is:",NDA,Mathematics,Mathematics,Two Dimensional Geometry,Circles,"Equation of a circle, Center and radius",Easy,MCQ,FALSE,
Q_1_74,What is the derivative of f(x) = log_e(sec x + tan x) with respect to x?,NDA,Mathematics,Mathematics,"Limit, Continuity, Differentiability",Differential Calculus,Derivatives of logarithmic and trigonometric functions,Medium,MCQ,FALSE,
Q_1_75,"If the vectors a = 2i - j + k and b = i + 2j - 3k are perpendicular, find the value of k if a ",NDA,Mathematics,Mathematics,Vectors,Dot Product of Vectors,"Perpendicular vectors, Properties of dot product",Hard,MCQ,FALSE,
Q_1_76,Two dice are thrown. What is the probability that the sum of the numbers appearing on them is a ,NDA,Mathematics,Mathematics,Statistics and Probability,Probability,"Dice problems, Event probability, Prime numbers",Medium,MCQ,FALSE,
Q_1_77,"The area bounded by the curve y = x^2, the x-axis, and the lines x = 1 and x = 2 is:",NDA,Mathematics,Mathematics,Integral Calculus,Area Under the Curve,"Definite integration, Area bounded by parabola",Easy,MCQ,FALSE,
Q_1_78,"If the vertices of a triangle are (1, 2), (4, 4), and (3, 5), what is the area of the triangle?",NDA,Mathematics,Mathematics,Two Dimensional Geometry,Coordinate Geometry,Area of a triangle,Easy,MCQ,FALSE,
Q_1_79,"Find the equation of the plane passing through (1, 1, 1) and perpendicular to the vector 2i + ",NDA,Mathematics,Mathematics,Three Dimensional Geometry,Planes,"Equation of a plane, Normal vector",Easy,MCQ,FALSE,
Q_1_80,"If α and β are the roots of the equation x^2 - x + 1 = 0, then what is α^2024 + β^2024",NDA,Mathematics,Algebra,Complex Numbers and Quadratic Equations,Roots of Quadratic Equations,Properties of complex roots (roots of unity),Medium,MCQ,FALSE,
Q_1_81,"Consider the matrix A = [[cosθ, sinθ], [-sinθ, cosθ]]. Which of the following statements are ",NDA,Mathematics,Linear Algebra,Matrices and Determinants,Properties of Matrices,"Orthogonal matrices, Matrix powers, Determinants",Medium,MCQ,FALSE,
Q_1_82,"If sin^-1(x) + sin^-1(y) + sin^-1(z) = 3π/2, then the value of x^100 + y^100 + z^100 - (3",NDA,Mathematics,Trigonometry,Inverse Trigonometric Functions,Properties of Inverse Trigonometric Functions,Domain and Range of sin^-1(x),Medium,MCQ,FALSE,
Q_1_83,What is the area of the region bounded by the curves y = |x-1| and y = 3 - |x|?,NDA,Mathematics,Calculus,Integral Calculus,Area under Curves,Area bounded by absolute value functions,Medium,MCQ,FALSE,
Q_1_84,"A line passes through the point (2, 3) and makes an angle of 45° with the line x + 3y + 7 = ",NDA,Mathematics,Coordinate Geometry,Two Dimensional Geometry,Straight Lines,"Angle between two lines, slope",Medium,MCQ,FALSE,
Q_1_85,"If the vectors a = i + j + k, b = 2i - j + 3k and c = i - 2j + k are coplanar, find the valu",NDA,Mathematics,Vector Algebra,Vectors,Coplanar Vectors,"Scalar projection, Vector cross product",Medium,MCQ,FALSE,
Q_1_86,"Let f(x) be a function such that f'(x) = g(x) and g'(x) = -f(x). If f(0) = 0 and f'(0) = 1,",NDA,Mathematics,Differential Equations,Differential Equations,Second Order Differential Equations,"Relationships between functions and derivatives (e.g., sin/cos)",Hard,MCQ,FALSE,
Q_1_87,A coin is tossed 10 times. What is the probability of getting exactly 6 heads?,NDA,Mathematics,Probability,Statistics and Probability,Binomial Probability Distribution,Coin toss probability,Medium,MCQ,FALSE,
Q_1_88,"The equation of the plane passing through (1, 1, 1) and perpendicular to the line joining (0",NDA,Mathematics,3D Geometry,Three Dimensional Geometry,Planes,Equation of a plane perpendicular to a line,Medium,MCQ,FALSE,
Q_1_89,Consider the function f(x) = x^3 - 3x + 2. The local maxima and minima are at:,NDA,Mathematics,Calculus,Differential Calculus (Maxima-Minima),Maxima and Minima of Functions,Local maxima and minima (first derivative test),Easy,MCQ,FALSE,
Q_1_90,"If α and β are the roots of the equation x^2 - x + 1 = 0, then the value of α^2024 + β^2024",NDA,Mathematics,Algebra,Complex Numbers and Quadratic Equations,Roots of Quadratic Equations,Properties of complex roots (roots of unity),Medium,MCQ,FALSE,
Q_1_91,"Consider the matrix A = [[cos θ, -sin θ], [sin θ, cos θ]]. Which of the following statements",NDA,Mathematics,Linear Algebra,Matrices and Determinants,Properties of Matrices,"Orthogonal matrices, Matrix powers, Involutory matrices",Medium,MCQ,FALSE,
Q_1_92,"If sin θ + cos θ = 1, then the value of sin 2θ is:",NDA,Mathematics,Trigonometry,Trigonometric Functions,Trigonometric Identities,Double angle formulas,Easy,MCQ,FALSE,
Q_1_93,"The locus of a point which moves such that the sum of its distances from (3, 0) and (-3, 0)",NDA,Mathematics,Coordinate Geometry,Two Dimensional Geometry,Conic Sections,Ellipse (definition based on foci),Easy,MCQ,FALSE,
Q_1_94,What is the value of ∫_0^π/2 (sin^n x) / (sin^n x + cos^n x) dx?,NDA,Mathematics,Calculus,Integral Calculus,Definite Integrals,Properties of definite integrals (King's property),Medium,MCQ,FALSE,
Q_1_95,"If the vectors a = i + j + k and b = 2i - j + mk are perpendicular, then the value of m is:",NDA,Mathematics,Vector Algebra,Vectors,Dot Product of Vectors,Condition for perpendicularity,Easy,MCQ,FALSE,
Q_1_96,Two dice are thrown simultaneously. What is the probability that the sum of the numbers on the,NDA,Mathematics,Probability,Statistics and Probability,Basic Probability,"Dice throw, Prime numbers",Medium,MCQ,FALSE,
Q_1_97,The derivative of f(x) = log(sec x + tan x) with respect to x is:,NDA,Mathematics,Calculus,Differential Calculus (Maxima-Minima),Differentiation,Derivatives of logarithmic and trigonometric functions,Easy,MCQ,FALSE,
Q_1_98,"The equation of the plane passing through (1, 1, 1) and perpendicular to the vector 2i + 3j",NDA,Mathematics,3D Geometry,Three Dimensional Geometry,Planes,Equation of a plane with given point and normal vector,Easy,MCQ,FALSE,
Q_1_99,"If nCr + 2*nCr+1 + nCr+2 = n+2Cr+2, which of the following is true?",NDA,Mathematics,Algebra,Sequences and Series,Combinations,Pascal's Identity,Medium,MCQ,FALSE,
Q_2_0,Identify the part with an error: (A) Neither of the two boys / (B) are going / (C) to the mar,NDA,GAT,Grammar,Grammar,Error Detection,Subject-Verb Agreement,Easy,MCQ,FALSE,
Q_2_1,Select the synonym of 'Clandestine'.,NDA,GAT,Vocabulary,Vocabulary,Synonyms,Word meaning,Easy,MCQ,FALSE,
Q_2_2,Identify the part with an error: (A) Scarcely had he gone out / (B) than it started / (C) rai,NDA,GAT,Grammar,Grammar,Error Detection,Conjunctions (Scarcely...when/before),Medium,MCQ,FALSE,
Q_2_3,Select the antonym of 'Mitigate'.,NDA,GAT,Vocabulary,Vocabulary,Antonyms,Word meaning,Easy,MCQ,FALSE,
Q_2_4,"Fill in the blank: The captain, along with the soldiers, _____ killed.",NDA,GAT,Grammar,Grammar,Fill in the Blanks,Subject-Verb Agreement,Easy,Fill in the Blank,FALSE,
Q_2_5,Select the synonym of 'Audacious'.,NDA,GAT,Vocabulary,Vocabulary,Synonyms,Word meaning,Easy,MCQ,FALSE,
Q_2_6,Spot the error: (A) He returned back / (B) from Delhi / (C) yesterday morning / (D) No Error,NDA,GAT,Grammar,Grammar,Error Detection,Redundancy / Superfluous words,Easy,MCQ,FALSE,
Q_2_7,Select the antonym of 'Indolent'.,NDA,GAT,Vocabulary,Vocabulary,Antonyms,Word meaning,Easy,MCQ,FALSE,
Q_2_8,Spot the error: (A) Many a student / (B) have registered / (C) for the mock test / (D) No Er,NDA,GAT,Grammar,Grammar,Error Detection,Subject-Verb Agreement (Many a/an),Medium,MCQ,FALSE,
Q_2_9,Fill in the blank: Work hard lest you _____ fail.,NDA,GAT,Grammar,Grammar,Fill in the Blanks,Conjunctions (lest),Easy,Fill in the Blank,FALSE,
Q_2_10,Select the synonym of 'Pugnacious'.,NDA,GAT,Verbal Ability,Vocabulary,Synonyms,,Medium,MCQ,FALSE,
Q_2_11,Change to active voice: 'The glass was broken by Hari.',NDA,GAT,Verbal Ability,Grammar,Tenses,Active-Passive Voice,Medium,MCQ,FALSE,
Q_2_12,Select the antonym of 'Terse'.,NDA,GAT,Verbal Ability,Vocabulary,Antonyms,,Medium,MCQ,FALSE,
Q_2_13,Spot the error: (A) He is senior / (B) than me / (C) in college / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Prepositions,Medium,MCQ,FALSE,
Q_2_14,Fill in the blank: He has been living here _____ 2020.,NDA,GAT,Verbal Ability,Grammar,Fill in the Blanks,Prepositions,Easy,MCQ,FALSE,
Q_2_15,Identify the part with an error: (A) Neither of the two boys / (B) are going / (C) to the market / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Subject-Verb Agreement,Medium,MCQ,FALSE,
Q_2_16,Select the synonym of 'Clandestine'.,NDA,GAT,Verbal Ability,Vocabulary,Synonyms,,Medium,MCQ,FALSE,
Q_2_17,Identify the part with an error: (A) Scarcely had he gone out / (B) than it started / (C) raining heavily / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Conjunctions,Medium,MCQ,FALSE,
Q_2_18,Select the antonym of 'Mitigate'.,NDA,GAT,Verbal Ability,Vocabulary,Antonyms,,Medium,MCQ,FALSE,
Q_2_19,"Fill in the blank: The captain, along with the soldiers, _____ killed.",NDA,GAT,Verbal Ability,Grammar,Fill in the Blanks,Subject-Verb Agreement,Medium,MCQ,FALSE,
Q_2_20,Select the synonym of 'Audacious'.,NDA,GAT,Verbal Ability,Vocabulary,Synonyms,,Medium,MCQ,FALSE,
Q_2_21,Spot the error: (A) He returned back / (B) from Delhi / (C) yesterday morning / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Redundancy,Medium,MCQ,FALSE,
Q_2_22,Select the antonym of 'Indolent'.,NDA,GAT,Verbal Ability,Vocabulary,Antonyms,,Medium,MCQ,FALSE,
Q_2_23,Spot the error: (A) Many a student / (B) have registered / (C) for the mock test / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Subject-Verb Agreement,Medium,MCQ,FALSE,
Q_2_24,Fill in the blank: Work hard lest you _____ fail.,NDA,GAT,Verbal Ability,Grammar,Fill in the Blanks,Conjunctions,Medium,MCQ,FALSE,
Q_2_25,Select the synonym of 'Pugnacious'.,NDA,GAT,Verbal Ability,Vocabulary,Synonyms,,Medium,MCQ,FALSE,
Q_2_26,Change to active voice: 'The glass was broken by Hari.',NDA,GAT,Verbal Ability,Grammar,Tenses,Active-Passive Voice,Medium,MCQ,FALSE,
Q_2_27,Select the antonym of 'Terse'.,NDA,GAT,Verbal Ability,Vocabulary,Antonyms,,Medium,MCQ,FALSE,
Q_2_28,Spot the error: (A) He is senior / (B) than me / (C) in college / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Prepositions,Medium,MCQ,FALSE,
Q_2_29,Fill in the blank: He has been living here _____ 2020.,NDA,GAT,Verbal Ability,Grammar,Fill in the Blanks,Prepositions,Easy,MCQ,FALSE,
Q_2_30,Identify the part with an error: (A) Neither of the two boys / (B) are going / (C) to the market / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Subject-Verb Agreement,Medium,MCQ,FALSE,
Q_2_31,Select the synonym of 'Clandestine'.,NDA,GAT,Verbal Ability,Vocabulary,Synonyms,,Medium,MCQ,FALSE,
Q_2_32,Identify the part with an error: (A) Scarcely had he gone out / (B) than it started / (C) raining heavily / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Conjunctions,Medium,MCQ,FALSE,
Q_2_33,Select the antonym of 'Mitigate'.,NDA,GAT,Verbal Ability,Vocabulary,Antonyms,,Medium,MCQ,FALSE,
Q_2_34,"Fill in the blank: The captain, along with the soldiers, _____ killed.",NDA,GAT,Verbal Ability,Grammar,Fill in the Blanks,Subject-Verb Agreement,Medium,MCQ,FALSE,
Q_2_35,Select the synonym of 'Audacious'.,NDA,GAT,Verbal Ability,Vocabulary,Synonyms,,Medium,MCQ,FALSE,
Q_2_36,Spot the error: (A) He returned back / (B) from Delhi / (C) yesterday morning / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Redundancy,Medium,MCQ,FALSE,
Q_2_37,Select the antonym of 'Indolent'.,NDA,GAT,Verbal Ability,Vocabulary,Antonyms,,Medium,MCQ,FALSE,
Q_2_38,Spot the error: (A) Many a student / (B) have registered / (C) for the mock test / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Subject-Verb Agreement,Medium,MCQ,FALSE,
Q_2_39,Fill in the blank: Work hard lest you _____ fail.,NDA,GAT,Verbal Ability,Grammar,Fill in the Blanks,Conjunctions,Medium,MCQ,FALSE,
Q_2_40,Select the synonym of 'Pugnacious'.,NDA,GAT,Verbal Ability,Vocabulary,Synonyms,,Medium,MCQ,FALSE,
Q_2_41,Change to active voice: 'The glass was broken by Hari.',NDA,GAT,Verbal Ability,Grammar,Voice,Active and Passive Voice,Easy,MCQ,FALSE,
Q_2_42,Select the antonym of 'Terse'.,NDA,GAT,Verbal Ability,Vocabulary,Antonyms,,Medium,MCQ,FALSE,
Q_2_43,Spot the error: (A) He is senior / (B) than me / (C) in college / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Comparison of Adjectives (Senior to),Easy,MCQ,FALSE,
Q_2_44,Fill in the blank: He has been living here _____ 2020.,NDA,GAT,Verbal Ability,Grammar,Fill in the Blanks,Prepositions (of time),Easy,MCQ,FALSE,
Q_2_45,Identify the part with an error: (A) Neither of the two boys / (B) are going / (C) to the market / (D),NDA,GAT,Verbal Ability,Grammar,Error Detection,Subject-Verb Agreement,Medium,MCQ,FALSE,
Q_2_46,Select the synonym of 'Clandestine'.,NDA,GAT,Verbal Ability,Vocabulary,Synonyms,,Medium,MCQ,FALSE,
Q_2_47,Identify the part with an error: (A) Scarcely had he gone out / (B) than it started / (C) raining heavily,NDA,GAT,Verbal Ability,Grammar,Error Detection,Conjunctions (Scarcely...when),Medium,MCQ,FALSE,
Q_2_48,Select the antonym of 'Mitigate'.,NDA,GAT,Verbal Ability,Vocabulary,Antonyms,,Medium,MCQ,FALSE,
Q_2_49,"Fill in the blank: The captain, along with the soldiers, _____ killed.",NDA,GAT,Verbal Ability,Grammar,Fill in the Blanks,Subject-Verb Agreement,Medium,MCQ,FALSE,
Q_2_50,Select the synonym of 'Audacious'.,NDA,GAT,Verbal Ability,Vocabulary,Synonyms,,Medium,MCQ,FALSE,
Q_2_51,Spot the error: (A) He returned back / (B) from Delhi / (C) yesterday morning / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Redundancy,Easy,MCQ,FALSE,
Q_2_52,Select the antonym of 'Indolent'.,NDA,GAT,Verbal Ability,Vocabulary,Antonyms,,Medium,MCQ,FALSE,
Q_2_53,Spot the error: (A) Many a student / (B) have registered / (C) for the mock test / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Subject-Verb Agreement (Many a),Medium,MCQ,FALSE,
Q_2_54,Fill in the blank: Work hard lest you _____ fail.,NDA,GAT,Verbal Ability,Grammar,Fill in the Blanks,Modals (Lest...should),Medium,MCQ,FALSE,
Q_2_55,Select the synonym of 'Pugnacious'.,NDA,GAT,Verbal Ability,Vocabulary,Synonyms,,Medium,MCQ,FALSE,
Q_2_56,Change to active voice: 'The glass was broken by Hari.',NDA,GAT,Verbal Ability,Grammar,Voice,Active and Passive Voice,Easy,MCQ,FALSE,
Q_2_57,Select the antonym of 'Terse'.,NDA,GAT,Verbal Ability,Vocabulary,Antonyms,,Medium,MCQ,FALSE,
Q_2_58,Spot the error: (A) He is senior / (B) than me / (C) in college / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Comparison of Adjectives (Senior to),Easy,MCQ,FALSE,
Q_2_59,Fill in the blank: He has been living here _____ 2020.,NDA,GAT,Verbal Ability,Grammar,Fill in the Blanks,Prepositions (of time),Easy,MCQ,FALSE,
Q_2_60,Identify the part with an error: (A) Neither of the two boys / (B) are going / (C) to the market / (D),NDA,GAT,Verbal Ability,Grammar,Error Detection,Subject-Verb Agreement,Medium,MCQ,FALSE,
Q_2_61,Select the synonym of 'Clandestine'.,NDA,GAT,Verbal Ability,Vocabulary,Synonyms,,Medium,MCQ,FALSE,
Q_2_62,Identify the part with an error: (A) Scarcely had he gone out / (B) than it started / (C) raining heavily,NDA,GAT,Verbal Ability,Grammar,Error Detection,Conjunctions (Scarcely...when),Medium,MCQ,FALSE,
Q_2_63,Select the antonym of 'Mitigate'.,NDA,GAT,Verbal Ability,Vocabulary,Antonyms,,Medium,MCQ,FALSE,
Q_2_64,"Fill in the blank: The captain, along with the soldiers, _____ killed.",NDA,GAT,Verbal Ability,Grammar,Fill in the Blanks,Subject-Verb Agreement,Medium,MCQ,FALSE,
Q_2_65,Select the synonym of 'Audacious'.,NDA,GAT,Verbal Ability,Vocabulary,Synonyms,,Medium,MCQ,FALSE,
Q_2_66,Spot the error: (A) He returned back / (B) from Delhi / (C) yesterday morning / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Redundancy,Easy,MCQ,FALSE,
Q_2_67,Select the antonym of 'Indolent'.,NDA,GAT,Verbal Ability,Vocabulary,Antonyms,,Medium,MCQ,FALSE,
Q_2_68,Spot the error: (A) Many a student / (B) have registered / (C) for the mock test / (D) No Error,NDA,GAT,Verbal Ability,Grammar,Error Detection,Subject-Verb Agreement (Many a),Medium,MCQ,FALSE,
Q_2_69,Fill in the blank: Work hard lest you _____ fail.,NDA,GAT,Verbal Ability,Grammar,Fill in the Blanks,Modals (Lest...should),Medium,MCQ,FALSE,
Q_2_70,Select the synonym of 'Pugnacious'.,NDA,GAT,English,Vocabulary,Synonyms,,Medium,MCQ,FALSE,
Q_2_71,Change to active voice: 'The glass was broken by Hari.',NDA,GAT,English,Grammar,Sentence Transformation,Active/Passive Voice,Easy,MCQ,FALSE,
Q_2_72,Select the antonym of 'Terse'.,NDA,GAT,English,Vocabulary,Antonyms,,Medium,MCQ,FALSE,
Q_2_73,Spot the error: (A) He is senior / (B) than me / (C) in college / (D) No Error,NDA,GAT,English,Grammar,Error Detection,Prepositions / Adjectives,Medium,MCQ,FALSE,
Q_2_74,Fill in the blank: He has been living here _____ 2020.,NDA,GAT,English,Grammar,Fill in the Blanks,Prepositions of Time,Easy,MCQ,FALSE,
