ID,Action,Question,Options
256,KEEP,"64. At which one among the following places did the British East India Company found its factory in the year 1611?","A. Madras   |   B. Masulipatam   |   C. Bombay   |   D. Balasore"
257,KEEP,"65. Chronologically arrange the following political events related to Indian National Movement beginning from the earliest:  1. Formation of Swaraj Party  2. Communal Award  3. Lucknow Pact  4. Simla Conference","A. (a) 3, 1, 2, 4   |   B. (b) 1, 3, 2, 4   |   C. (c) 2, 1, 4, 3   |   D. (d) 1, 2, 3, 4"
258,KEEP,"66. Which among the following Acts provided for the establishment of a Supreme Court of Justice at Calcutta for Europeans, their employees and the citizens of India?","A. The Regulating Act of 1773   |   B. The Charter Act of 1793   |   C. The Charter Act of 1813   |   D. Government of India Act of 1858"
259,KEEP,"67. Who, among the following, has introduced a resolution in 1882 which is also called the Magna Carta of Local Self-Government in India?","A. Lord Macaulay   |   B. Lord Canning   |   C. Lord Ripon   |   D. Lord William Bentinck"
260,KEEP,"68. Which one of the following terms is associated with the practice of Sufism?","A. Jizya   |   B. Ijma   |   C. Muqaddam   |   D. Murid"
261,KEEP,"69. Consider the following features:  1. Consent of the governed  2. Political equality  3. Accountability of the ruled to the ruler  Which of the above feature/features outline democratic rule?","A. 1 and 2 only   |   B. 2 and 3 only   |   C. 1, 2 and 3   |   D. 3 only"
262,KEEP,"70. Placing the earliest first, arrange the following countries in the chronological order in which they granted universal adult franchise:  1. USA  2. Sri Lanka  3. Japan  4. India","A. (a) 1, 2, 3, 4   |   B. (b) 2, 3, 4, 1   |   C. (c) 1, 3, 4, 2   |   D. (d) 3, 4, 1, 2"
263,KEEP,"71. Which one of the following statements is NOT correct?","A. The molecules of soap are sodium or potassium salts of long chain fatty acids   |   B. The molecules of soap contain both hydrophobic and hydrophilic ends   |   C. Detergents are more effective than soaps in hard water   |   D. In micelles the ionic-end of the molecules is towards oil droplet while the other end faces outside"
264,KEEP,"72. Which one of the following statements is correct?","A. A neutron is formed by combination of an electron and a proton. Therefore, it is neutral   |   B. The mass of an electron is about 1/2000 times that of a proton   |   C. An isotope of cobalt is used in the treatment of goiter   |   D. J. J. Thomson proposed that the nucleus of an atom contains only neutrons"
265,KEEP,"73. Which one of the following particles in the nucleus of an atom was discovered by J. Chadwick?","A. Electron   |   B. Proton   |   C. Positron   |   D. Neutron"
266,KEEP,"74. Which one of the following findings is NOT observed in Rutherford's Nuclear Model of Atom?","A. There is a neutral centre in an atom called nucleus   |   B. Nearly all the mass of an atom resides in the nucleus   |   C. The electrons revolve around the nucleus in a circular path   |   D. The size of a nucleus is very small as compared to the size of atom"
267,KEEP,"75. Element X forms a chloride with the formula XCl2, which is a solid with high melting point. X would most likely be in the same group of periodic table as","A. Na   |   B. Al   |   C. Mg   |   D. K"
268,KEEP,"76. Which one of the following oxides is a neutral oxide?","A. CO   |   B. CO2   |   C. Na2O   |   D. MgO"
269,KEEP,"77. Which one of the following is also known as Dry ice in its solid form?","A. SiO2   |   B. CO2   |   C. CaO   |   D. MgO"
270,KEEP,"78. Which one of the following statements is NOT correct?","A. A scale measuring hydrogen ion concentration in a solution is called pH scale   |   B. The higher the hydrogen ion concentration in a solution, higher is its pH   |   C. We can measure pH generally from 0 to 14 on a pH scale   |   D. The 'p' in pH stands for 'potenz' in German meaning power"
271,KEEP,"79. Which one of the following statements is NOT correct?","A. Half mole of nitrogen gas is measured 11.2 litre at STP   |   B. 17 gram of ammonia gas contains 6.022 x 10^23 molecules at STP   |   C. 22.4 litre of CO2 gas at STP contains 44 gram of molecules   |   D. 4 gram of hydrogen gas contains 6.022 x 10^23 molecules"
272,KEEP,"80. Which one of the following statements about a compound is NOT correct?","A. A compound is a substance composed of two or more elements, chemically combined in a fixed proportion   |   B. Properties of a compound are different from its constituent elements   |   C. A compound is an impure substance   |   D. The constituents of a compound can be separated only by chemical or electrochemical reactions"
273,KEEP,"Match List I with List II and select the answer using the code given below the Lists: List I (Chemical Name) | List II (Chemical Formula) A. Washing soda | 1. CaCl2 B. Baking soda | 2. NaHCO3 C. Bleaching powder | 3. Na2CO3·10H2O D. Gypsum | 4. CaSO4·2H2O","A. A-4, B-2, C-1, D-3   |   B. A-4, B-1, C-2, D-3   |   C. A-3, B-1, C-2, D-4   |   D. A-3, B-2, C-1, D-4"
274,KEEP,"Which one of the following nitrogen oxides may dimerize?","A. N2O   |   B. NO2   |   C. N2O3   |   D. N2O5"
275,KEEP,"Which one of the following statements regarding oxidation and reduction reactions is NOT correct?","A. If a substance loses hydrogen during reaction, it is reduced   |   B. If a substance loses oxygen during reaction, it is reduced   |   C. If a substance gains hydrogen during reaction, it is reduced   |   D. If a substance gains oxygen during reaction, it is oxidized"
276,KEEP,"Match List I with List II and select the answer using the code given below the Lists: List I (Physical Quantity) | List II (SI Unit) A. Temperature | 1. Kelvin B. Weight | 2. Kilogram C. Mass | 3. Pascal D. Pressure | 4. Newton","A. A-1, B-2, C-4, D-3   |   B. A-3, B-4, C-2, D-1   |   C. A-1, B-4, C-2, D-3   |   D. A-3, B-2, C-4, D-1"
277,KEEP,"For acid rain, the pH of rain water should be less than","A. 7.0   |   B. 6.6   |   C. 5.6   |   D. 8.0"
278,KEEP,"Consider the following lines of Longitude and Latitude: 1. Prime Meridian 2. Tropic of Cancer 3. Equator Which of the above lines is/are a Great Circle?","A. 1, 2 and 3   |   B. 1 and 2 only   |   C. 1 and 3 only   |   D. 3 only"
279,KEEP,"Which of the following is the correct ascending order of the given minerals in terms of their presence in the Earth's crust? 1. Amphibolite 2. Mica 3. Pyroxene","A. 2, 3, 1   |   B. 1, 2, 3   |   C. 2, 1, 3   |   D. 1, 3, 2"
280,KEEP,"Which of the following is/are the applied forces in mechanical weathering process? 1. Gravitational force 2. Expansion force 3. Force due to water pressure","A. 1 only   |   B. 1 and 2 only   |   C. 2 and 3 only   |   D. 1, 2 and 3"
281,KEEP,"Which of the following is/are cold ocean current/currents? 1. Alaska Current 2. North Atlantic Drift 3. West Wind Drift","A. 1 only   |   B. 1 and 2   |   C. 2 and 3   |   D. 3 only"
282,KEEP,"Which one of the following latitudes will experience a minimum angle of the Sun's rays when it is Summer Solstice in the Northern Hemisphere?","A. Arctic Circle   |   B. Equator   |   C. Tropic of Cancer   |   D. Tropic of Capricorn"
283,KEEP,"Which of the following statements with reference to Coriolis force is/are correct? 1. Coriolis force acts perpendicular to the pressure gradient force 2. At the equator, the Coriolis force is zero and the wind blows perpendicular to the isobars","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
284,KEEP,"Which of the following statements with reference to Sleet is/are correct? 1. Sleet is frozen raindrops and refrozen melted snow-water 2. It occurs when a layer of air with the temperature below freezing point overlies a warm layer near the ground surface","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
285,KEEP,"Humid Subtropical Climate is NOT experienced in which one among the following regions?","A. Coastal South Africa   |   B. East coast of Australia   |   C. South Japan   |   D. South Argentina"
286,KEEP,"Mahendragiri, the highest peak of the Eastern Ghats, is located in which one of the following states?","A. Andhra Pradesh   |   B. Odisha   |   C. Telangana   |   D. Tamil Nadu"
287,KEEP,"Temperate forests of South India, known as 'Sholas' are found in which of the following hills? 1. Anaimalai 2. Nilgiris 3. Palani","A. 1 only   |   B. 1 and 2 only   |   C. 2 and 3 only   |   D. 1, 2 and 3"
288,KEEP,"Which one among the following is NOT a major oil field located in Gujarat?","A. Ankleshwar   |   B. Kosamba   |   C. Mehsana   |   D. Moran"
289,KEEP,"As per the Land Revenue Records, any land is categorized as Culturable Waste-Land if it is left fallow (uncultivated) for more than","A. 2 years   |   B. 3 years   |   C. 4 years   |   D. 5 years"
290,KEEP,"Which of the following is NOT included in the National Food Security Mission Commercial Crops (NFSM-CC)?","A. Cotton   |   B. Coffee   |   C. Jute   |   D. Sugar cane"
291,KEEP,"Which of the following statements with reference to L-Wave or Long Wave generated by an earthquake is/are correct? 1. They follow the Earth's circumference 2. They travel at more or less at a constant rate","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
292,KEEP,"Which one of the following is formed when volcanic ash is carried by running water and is deposited as a sedimentary layer?","A. Basalt   |   B. Lapilli   |   C. Slate   |   D. Tuff"
293,KEEP,"Condensation of water vapour into water is influenced by which of the following factor/factors? 1. Volume of air 2. Humidity 3. Temperature","A. 1 only   |   B. 2 and 3 only   |   C. 1 and 3 only   |   D. 1, 2 and 3"
294,KEEP,"The lactic acid that gets accumulated in the muscle cells during rigorous exercise causing muscle cramps is produced from","A. ATP   |   B. Pyruvate   |   C. Ethanol   |   D. Glucose"
295,KEEP,"A chain of peptide containing linear sequences of amino acid linked by peptide bonds best represent the","A. Primary structure   |   B. Secondary structure   |   C. Tertiary structure   |   D. Quaternary structure"
296,KEEP,"Cambium is an example of","A. Lateral meristem   |   B. Apical meristem   |   C. Intercalary meristem   |   D. Permanent tissue"
297,KEEP,"What happens when the fat and oil containing food materials are left outside for a long time?","A. Fats and oils in the food get oxidized   |   B. Fats and oils in the food get reduced   |   C. Fats and oils in the food get ice-covered   |   D. No reaction takes place"
298,KEEP,"Which is the correct base pairing found in a normal DNA molecule?","A. Adenine pairs with Thymine   |   B. Adenine pairs with Guanine   |   C. Adenine pairs with Cytosine   |   D. Thymine pairs with Guanine"
299,KEEP,"Clotting of blood involves which one among the following clotting proteins?","A. Pathogen   |   B. Fibrinogen   |   C. Macrophage   |   D. Phagocytes"
300,KEEP,"Initial discovery of antibiotic penicillin was done by","A. Francis Crick   |   B. Maurice Wilkins   |   C. Charles Darwin   |   D. Alexander Fleming"
301,KEEP,"The vector of malaria parasites is","A. Male Anopheles mosquito   |   B. Male Culex mosquito   |   C. Female Anopheles mosquito   |   D. Female Culex mosquito"
302,KEEP,"Which of the following pairs is/are correctly matched? 1. Malaria : Mycobacterium 2. TB : Plasmodium","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
303,KEEP,"Vitamin B1 is also known as","A. Riboflavin   |   B. Thiamin   |   C. Retinol   |   D. Tocopherol"
304,KEEP,"When a solid body is partially or completely immersed in a fluid, the fluid exerts an upward force on the body. The magnitude of the force is equal to 1. the mass of the body 2. the weight of the displaced fluid by the body Which of the above is/are correct?","A. 1 only   |   B. 2 only   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
305,KEEP,"If the length of a copper wire is increased by twice, then its resistivity will be","A. Doubled   |   B. Halved   |   C. Same   |   D. One-fourth"
306,KEEP,"Which one of the following is dimensionless quantity?","A. Stress   |   B. Strain   |   C. Pressure   |   D. Force"
307,KEEP,"A system that does NOT allow exchange of heat with its surrounding is called","A. Adiabatic system   |   B. Non-adiabatic system   |   C. Equilibrium system   |   D. Non-equilibrium system"
308,KEEP,"If the speed of light in carbon disulfide and vacuum is X and Y respectively, then","A. X < Y   |   B. X > Y   |   C. X >= Y   |   D. X = Y"
309,KEEP,"A current through a horizontal power line flows in east to west direction. What will be the direction of magnetic field at a point directly below it when viewed from east end?","A. Clockwise in a plane perpendicular to the wire   |   B. Anti-clockwise in a plane perpendicular to the wire   |   C. Clockwise in a plane of parallel to the wire   |   D. Anti-clockwise in a plane of parallel to the wire"
310,KEEP,"Which one among the following elements is known to be discovered the earliest?","A. Copper   |   B. Gold   |   C. Oxygen   |   D. Uranium"
311,KEEP,"When a light ray passes through from air to water with a non-zero angle the ray will be","A. bending towards the normal   |   B. bending away from the normal   |   C. propagating in straight line   |   D. reflected towards the opposite direction"
312,KEEP,"Which one of the following equations related to the motion of an object is NOT correct? (Symbols carry their usual meanings)","A. s = ut + 1/2at^2   |   B. u = v - at   |   C. u^2 - v^2 = 2as   |   D. Distance travelled during nth second = u + 1/2a(2n - 1)"
313,KEEP,"An object is placed between infinity and the pole (P) of a convex mirror. The position of the image is","A. between pole (P) and the focus (F), behind the mirror   |   B. between the focus (F) and infinity, behind the mirror   |   C. between the pole (P) and the infinity, in front of the mirror   |   D. at the focus (F), behind the mirror"
314,KEEP,"The work done in moving a charge of 2 coulomb (C) from point A to point B is 24 J. What is the potential difference between A and B?","A. 48 V   |   B. 6 V   |   C. 12 V   |   D. 0.08 V"
315,KEEP,"Two conducting wires of the same material and of equal lengths and equal diameters are first connected in parallel and then in series in a circuit across the same potential difference. The ratio of heat produced in parallel and series combinations is","A. 2 : 1   |   B. 4 : 1   |   C. 1 : 2   |   D. 1 : 4"
316,KEEP,"The magnetic field inside a long straight solenoid-carrying current","A. is zero   |   B. decreases as we move towards its end   |   C. increases as we move towards its end   |   D. is uniform inside the solenoid"
317,KEEP,"A car has an initial velocity of 12 m/s and is brought to rest over a distance of 45 m. The acceleration of the car is","A. +1.6 m/s^2   |   B. +3.2 m/s^2   |   C. -1.6 m/s^2   |   D. -0.8 m/s^2"
318,KEEP,"The universal constant of gravitation G has the unit","A. N   |   B. m/s   |   C. Joule   |   D. N-m^2/kg^2"
319,KEEP,"Two bodies of unequal masses are dropped from a tower. At any instant, they have equal","A. Momentum   |   B. Acceleration   |   C. Potential energy   |   D. Kinetic energy"
320,KEEP,"The frequency (f), wavelength (λ) and speed (v) of a sound wave are related as","A. f = vλ   |   B. λ = vf   |   C. f = λ/v   |   D. v = λf"
321,KEEP,"The length of a simple pendulum is increased four times to its previous value while the mass is doubled. What is the ratio of the new and previous time period of the pendulum?","A. 3 : 1   |   B. 2 : 5   |   C. 2 : 1   |   D. 3 : 2"
322,KEEP,"Which one of the following is NOT a basic property of electric charge?","A. Charges can be added   |   B. Charge is conserved   |   C. Charge on a body is always an integral multiple of an electron or a proton charge   |   D. Charges can be created and destroyed in an isolated system"
323,KEEP,"What happens when the sunlight travels through the Earth's atmosphere?","A. The blue colour is scattered more compared to the red colour   |   B. The red colour is scattered more compared to the blue colour   |   C. Both the blue and the red colours are scattered equally   |   D. The blue colour is not scattered but the red colour is scattered the most"
324,KEEP,"When a solid body is partially or completely immersed in a fluid, the fluid exerts an upward force on the body. The magnitude of the force is equal to","A. the mass of the body   |   B. the weight of the displaced fluid by the body   |   C. Both 1 and 2   |   D. Neither 1 nor 2"
325,KEEP,"If the length of a copper wire is increased by twice, then its resistivity will be","A. Doubled   |   B. Halved   |   C. Same   |   D. One-fourth"
326,KEEP,"Which one of the following is dimensionless quantity?","A. Stress   |   B. Strain   |   C. Pressure   |   D. Force"
327,KEEP,"If the speed of light in carbon disulfide and vacuum is X and Y respectively, then","A. X < Y   |   B. X > Y   |   C. X ≥ Y   |   D. X = Y"
328,KEEP,"A current through a horizontal power line flows in east to west direction. What will be the direction of magnetic field at a point directly below it when viewed from east end?","A. Clockwise in a plane perpendicular to the wire   |   B. Anti-clockwise in a plane perpendicular to the wire   |   C. Clockwise in a plane of parallel to the wire   |   D. Anti-clockwise in a plane of parallel to the wire"
329,KEEP,"Which one among the following elements is known to be discovered the earliest?","A. Copper   |   B. Gold   |   C. Oxygen   |   D. Uranium"
330,KEEP,"When a light ray passes through from air to water with a non-zero angle the ray will be","A. bending towards the normal   |   B. bending away from the normal   |   C. propagating in straight line   |   D. reflected towards the opposite direction"
331,KEEP,"Which one of the following equations related to the motion of an object is NOT correct? (Symbols carry their usual meanings)","A. s = ut + 1/2at^2   |   B. u = v - at   |   C. u^2 - v^2 = 2as   |   D. Distance travelled during nth second = u + 1/2a(2n - 1)"
332,KEEP,"Which one of the following statements is NOT correct?","A. An ammeter is always connected in series in the circuit to measure the current   |   B. A Voltmeter is always connected to parallel in a circuit to measure the voltage   |   C. A voltmeter has a high resistance and an ammeter has a low resistance   |   D. A voltmeter has a low resistance and an ammeter has a high resistance"
333,KEEP,"Which one of the following is a non-conventional source of energy?","A. Petroleum   |   B. Natural Gas   |   C. Tidal energy   |   D. Coal"
334,KEEP,"If three resistors of 1 Ohm each connect in parallel to each other the resultant resistance is","A. 1 Ohm   |   B. 1/3 Ohm   |   C. 3 Ohm   |   D. 9 Ohm"
335,KEEP,"We hear an echo due to","A. Refraction of sound waves   |   B. Reflection of sound waves   |   C. Diffraction of sound waves   |   D. Resonance due to sound waves"
336,KEEP,"At uniform speed the acceleration is","A. Maximum   |   B. Minimum   |   C. Zero   |   D. Constant"
337,KEEP,"The 'Jataka Tales' present moral narratives in the form of allegories.","A. aphorisms   |   B. adages   |   C. enjambments   |   D. parables"
338,KEEP,"He was upbraided for appearing in court in a state of inebriation.","A. ululation   |   B. intoxication   |   C. confabulation   |   D. sublimation"
339,KEEP,"The obstreperous behavior of the students inside the classroom drew the attention of the Principal.","A. compliant   |   B. obnoxious   |   C. inconspicuous   |   D. disorderly"
340,KEEP,"These were based primarily in Himachal Pradesh, where the treks were as gruelling as the terrain.","A. rigorous   |   B. egregious   |   C. unctuous   |   D. ominous"
341,KEEP,"I think they would wish for some more adornment around the school campus for the special function.","A. subsummation   |   B. decoration   |   C. coloration   |   D. inculcation"
342,KEEP,"The travel company tried to identify destinations that were off the beaten track.","A. untenanted   |   B. unfrequented   |   C. unattended   |   D. untoward"
343,KEEP,"Women gather in the community park on a regular basis to chant prayers for the benefit of all.","A. confound   |   B. inculcate   |   C. indite   |   D. recite"
344,KEEP,"The HR Manager was able to utilize the specific skills of each member of the team assembled for the project.","A. harness   |   B. harbor   |   C. harangue   |   D. herald"
345,KEEP,"The oppressive pollution was noticed to have abated after the unseasonal rainfall.","A. mitigated   |   B. enhanced   |   C. discontinued   |   D. suppressed"
346,KEEP,"Often, the context and structure of an ambiguous statement is difficult to discern.","A. absolutistic   |   B. explicit   |   C. cryptic   |   D. solipsistic"
347,KEEP,"She had a ruddy, open face and an oddly guileless manner.","A. cacophonous   |   B. cadaverous   |   C. nauseous   |   D. bumptious"
348,KEEP,"He used to be known among his colleagues for his righteousness.","A. iniquity   |   B. ingenuity   |   C. absorptivity   |   D. incredulity"
349,KEEP,"He found the musical rendition by the septuagenarian maestro to be listless.","A. wearying   |   B. unedifying   |   C. unengaging   |   D. scintillating"
350,KEEP,"The official accused of espionage was found to be disingenuous.","A. scrupulous   |   B. duplicitous   |   C. mendacious   |   D. perfidious"
351,KEEP,"The young are easily excitable when presented with strong emotional triggers.","A. composed   |   B. agitated   |   C. aggrieved   |   D. alarmed"
352,KEEP,"Our professor was perplexed by the answers we wrote in the examination.","A. misled   |   B. enlightened   |   C. confused   |   D. befuddled"
353,KEEP,"Effective governance seeks to optimize public resource allocation.","A. upgrade   |   B. rationalize   |   C. maximize   |   D. degrade"
354,KEEP,"The student's striking audaciousness disturbed long-standing social hierarchies on campus.","A. boldness   |   B. fearlessness   |   C. timidness   |   D. insightfulness"
355,KEEP,"There are four concurrent handloom fairs around the city.","A. consecutive   |   B. distributive   |   C. aberrative   |   D. abstersive"
356,KEEP,"Lucidity is a desired quality in effective communication.","A. Clarity   |   B. Felicity   |   C. Facility   |   D. Ambiguity"
357,KEEP,"Nuts and bolts","A. To complete the first step in a process   |   B. To get down to practical details   |   C. To receive harm or punishment for one's actions   |   D. To irritate people and make them go away"
358,KEEP,"Hat in hand","A. With humility   |   B. Easy to use   |   C. Available for anyone   |   D. To marry someone"
359,KEEP,"Straight from the horse's mouth","A. Ready and eager to engage in an activity   |   B. Significantly disturbing business   |   C. Information from reliable and authoritative source   |   D. Sudden feelings of fear and embarrassment"
360,KEEP,"Bite off more than you can chew","A. To suddenly wrap out of conversation   |   B. To try to do more than you can manage   |   C. To do something in the easiest or cheapest way   |   D. To exaggerate something wildly"
361,KEEP,"A piece of cake","A. Something difficult to extract from the original   |   B. Something very difficult to understand   |   C. Something that appears very inviting   |   D. Something very easy to accomplish"
362,KEEP,"He claimed his half share of the booty.","A. Adverb   |   B. Adjective   |   C. Noun   |   D. Determiner"
363,KEEP,"Swimming is a healthy exercise.","A. Verb   |   B. Gerund   |   C. Adjective   |   D. Adverb"
364,KEEP,"I have told you now and again that you must not read such trash.","A. Conjunction   |   B. Preposition   |   C. Noun   |   D. Adverb"
365,KEEP,"He succeeded by dint of perseverance and sheer hard work.","A. Conjunctival phrase   |   B. Adjectival phrase   |   C. Prepositional phrase   |   D. Adverbial phrase"
366,KEEP,"I need you to return those books I lent you last month.","A. Modal   |   B. Determiner   |   C. Noun   |   D. Adjective"
367,KEEP,"I will not pay for the goods","A. till he sends me the bill again   |   B. until he sends me the bill again   |   C. if he sends me the bill again   |   D. unless he sends me the bill again"
368,KEEP,"I did not buy it","A. because I did not like the look of it   |   B. as far as I did not like the look of it   |   C. anyway I did not like the look of it   |   D. if I did not like the look of it"
369,KEEP,"I sent her a bouquet of orchids","A. for which she was absolutely delighted   |   B. with which she was absolutely delighted   |   C. of which she was absolutely delighted   |   D. on which she was absolutely delighted"
370,KEEP,"You must stay inside","A. where it starts raining   |   B. when it starts raining   |   C. because it starts raining   |   D. till it starts raining"
371,KEEP,"We must wait","A. until you see the light turn green   |   B. till you see the green light   |   C. because you can see the green light   |   D. unless you see the red signal"
372,KEEP,"Although it was raining, we had the picnic.","A. Although it was raining, we had the picnic.   |   B. Although it was raining, still we had the picnic.   |   C. Although it was raining, yet we had the picnic.   |   D. Although it was raining, even then we had the picnic."
373,KEEP,"When I arrive, I will call you.","A. When I would arrive, I will call you.   |   B. When I shall arrive, I will call you.   |   C. When I will arrive, I will call you.   |   D. When I arrive, I will call you."
374,KEEP,"Who among you has the answer?","A. Who among you has the answer?   |   B. Whom among you has the answer?   |   C. Whom amongst you has the answer?   |   D. Who amid you has the answer?"
375,KEEP,"No sooner had he reached the station than the train left.","A. No sooner than he reached the station the train left.   |   B. No sooner had he reached the station than the train left.   |   C. No sooner he had reached the station than the train left.   |   D. No sooner had he reached the station then the train left."
376,KEEP,"Hardly had I arrived at the airport when the plane departed.","A. Hardly had I arrived at the airport than the plane departed.   |   B. Scarcely had I arrived at the airport when the plane departed.   |   C. Hardly I had arrived at the airport when the plane departed.   |   D. Scarcely had I arrived at the airport then the plane departed."
377,KEEP,"The project staff are working on the weekend so as not to delay the project any further.","A. The project staff are   |   B. working on the weekend   |   C. so as not to delay   |   D. the project any further."
378,KEEP,"When I saw Arnab he said he had taken his driving test yesterday.","A. When I saw Arnab   |   B. he said he   |   C. had taken his   |   D. driving test yesterday."
379,KEEP,"Of all the players it was Ramesh who plan his tactics with utmost care.","A. Of all the players   |   B. it was Ramesh   |   C. who plan his tactics   |   D. with utmost care."
380,KEEP,"Many people in India are still not aware of India's indigenous fabrics that reflects the rich heritage of craftmanship.","A. Many people in India are   |   B. still not aware   |   C. of India's indigenous fabrics   |   D. that reflects the rich heritage of craftmanship."
381,KEEP,"Meaningful ecological affects of the handloom sector can be optimized through recycling practices.","A. Meaningful ecological   |   B. affects of the handloom   |   C. sector can be optimized   |   D. through recycling practices."
382,KEEP,"Read the following pairs: I. Have one foot in the grave: To be in the last stage of life. II. Get your feet wet: Establish yourself securely in an establishment. III. Follow suit: Correctly conform to another's action. Identify the pair(s) wherein the meaning is correctly stated.","A. (a) I only   |   B. (b) III only   |   C. (c) I and III   |   D. (d) II and III"
383,KEEP,"A pendulum of length L oscillates with an angular amplitude of θ = 60°. Let T0 = 2π√(L/g) be the time period for small angle of oscillations. If air resistance is negligibly small and the string remains straight, then which one of the following is correct?","A. T will be slightly greater than T0.   |   B. T will be slightly smaller than T0.   |   C. T will be exactly equal to T0.   |   D. T will depend upon the mass of the bob."
384,KEEP,"Two forces of equal magnitude simultaneously act at a point. It is observed that the resultant force is equal in magnitude to the individual forces. Which of the following statements is/are correct? I. The angle between one of the individual forces and the resultant force is π/3. II. The angle between the individual forces is 2π/3.","A. I only   |   B. II only   |   C. Both I and II   |   D. Neither I nor II"
385,KEEP,"A solid of mass m has temperature-dependent specific heat as C(T) = C0 + αT, where C0 and α are constants. The solid is heated from T1 to T2. Which one of the following is the correct expression for quantity of heat (Q) of the solid mass?","A. Q = mC0(T2 - T1)   |   B. Q = m(T2 - T1)[C0 + α(T1 + T2)]   |   C. Q = m(T2 - T1)[C0(T1 + T2) + α]   |   D. Q = m(T2 - T1)[C0 + (α/2)(T1 + T2)]"
386,KEEP,"In a certain process, the relation between pressure (P) and volume (V), for an ideal gas, is given by PV^2 = constant. If the initial temperature is T1 and the final temperature is T2; and the initial volume is V1 and the final volume is V2, then which one of the following is correct?","A. T1/T2 = V1/V2   |   B. T1/T2 = (V1/V2)^2   |   C. T1/T2 = V2/V1   |   D. T1/T2 = (V2/V1)^2"
387,KEEP,"For an ideal gas, a process is described by P = kT, where k is a constant. If the molar heat capacity for this process is C, then which one of the following is correct?","A. C = Cp   |   B. C = Cv   |   C. C = (Cp + Cv)/2   |   D. C is never constant"
388,KEEP,"For an object in gravitational field, the gravitational potential is the same at two points A and B, but the gravitational field is not the same at these two points. Which one of the following statements is correct?","A. Positive work is done by gravity in moving the object from point A to point B.   |   B. Negative work is done by gravity in moving the object from point A to point B.   |   C. Gravity must be non-conservative in such a region.   |   D. No work is done by gravity in moving the object from point A to point B."
389,KEEP,"The position vector of a particle is given by r = √3t^2 i + √2t j + √5k. Which one of the following statements is correct?","A. The force acting on the particle is parallel to the instantaneous momentum of the particle.   |   B. The force acting on the particle is perpendicular to the instantaneous momentum of the particle.   |   C. The particle experiences zero force.   |   D. The force acting on the particle is not parallel to the instantaneous momentum of the particle."
390,KEEP,"A ball is dropped from rest from height h above the ground in frame S (the Earth's frame). Another frame S' is moving upwards with constant speed u relative to the Earth. In frame S', the ball has initial downward speed v. Pertaining to the change in kinetic energy (ΔK) of the ball from release to just before hitting the ground as measured in frames S and S' separately, which one of the following is correct?","A. ΔK is the same in both the frames.   |   B. ΔK is larger in frame S.   |   C. ΔK is larger in frame S'.   |   D. ΔK cannot be compared without the information of mass of the ball."
391,KEEP,"A floating body is in stable state. Which one of the following is correct?","A. The centre of gravity of the body is above its centre of buoyancy.   |   B. The centre of gravity of the body is below its centre of buoyancy.   |   C. The centre of gravity of the body coincides with its centre of buoyancy.   |   D. The centre of gravity of the body is below the metacentre."
392,KEEP,"A constant power machine pulls a block on a smooth horizontal surface. Which one of the following correctly describes the relation between speed of the block (v) and time (t)?","A. v ∝ t   |   B. v ∝ √t   |   C. v ∝ t^2   |   D. v ∝ t^3/2"
393,KEEP,"A 5 g piece of ice at -20 °C is put into m kg of water at 30 °C temperature. The heat is exchanged only between the ice and the water. The final temperature of the mixture is 0 °C in liquid phase. What is the value of m in kg?","A. 0.050   |   B. 0.010   |   C. 0.015   |   D. 0.150"
394,KEEP,"A very large container consists of an ideal gas. The speed of sound in the gas is x. When the pressure of the gas is doubled while keeping the temperature constant, the speed of sound now becomes y. What is the ratio of x to y?","A. 1   |   B. √2   |   C. 2   |   D. 4"
395,KEEP,"A person jumps from a height on soft sand. Which one of the following is the correct reason for less likely injury to the person?","A. The sand exerts no reaction force.   |   B. The sand reduces the change in momentum.   |   C. The sand increases the impact time.   |   D. The sand increases the momentum."
396,KEEP,"An object is placed far beyond the centre of curvature of a concave mirror. The object then starts accelerating towards the mirror. Which one of the following is correct?","A. The image will accelerate towards the centre of curvature.   |   B. The image will accelerate towards the focus.   |   C. The image will accelerate towards the pole of the mirror.   |   D. The image will move with a constant speed towards the focus."
397,KEEP,"A particle is moved from point X to point Y under a force field. The work done depends only on the initial and final speeds. Which one of the following is correct?","A. The force is conservative.   |   B. The net work equals the change in kinetic energy.   |   C. The force is constant.   |   D. The velocity must always increase."
398,KEEP,"One year at a planet is 8 times as large as compared to the one year at the Earth. Which one of the following is correct about the planet's orbit?","A. The semimajor axis of the planet's orbit is same as that of the Earth.   |   B. The semimajor axis of the planet's orbit is twice as compared to that of the Earth.   |   C. The semimajor axis of the planet's orbit is thrice as compared to that of the Earth.   |   D. The semimajor axis of the planet's orbit is four times as compared to that of the Earth."
