Mathematics | Right triangle with circumcircle and altitude | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Right_triangle_with_circumcircle_and_altitude
Mathematics | Relationship among α, β, γ satisfying α+β+γ = αβ+βγ+γα | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Algebra\Relationship_among_________satisfying_________________
Mathematics | Timeline for three runners meeting at the start point | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Number_Theory\Timeline_for_three_runners_meeting_at_the_start_point
Mathematics | Graph of f(θ)=cos³θ + sec³θ on [0°, 90°] | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Trigonometry\Graph_of_f____cos_____sec___on__0___90__
Mathematics | Simplification of sin θ cos θ + sin θ cos θ + sin θ cos θ − sin θ cos θ | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Trigonometry\Simplification_of_sin___cos_____sin___cos_____sin___cos_____sin___cos__
Mathematics | Ladder against flagstaff geometry | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Trigonometry\Ladder_against_flagstaff_geometry
Mathematics | Aeroplane over river depression angles | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Trigonometry\Aeroplane_over_river_depression_angles
Mathematics | Triangle ABC interior angle expression | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Triangle_ABC_interior_angle_expression
Mathematics | Triangle ABC interior angles | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Triangles\Triangle_ABC_interior_angles
Mathematics | Right‑angled triangle ABC dimensions | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Right_Triangles\Right_angled_triangle_ABC_dimensions
Mathematics | Surface area of cone‑hemisphere solid | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Solids\Surface_area_of_cone_hemisphere_solid
Mathematics | Solid immersed in cylinder | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Volumes\Solid_immersed_in_cylinder
Mathematics | Chord of circle with 120° central angle | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Circles\Chord_of_circle_with_120__central_angle
Mathematics | Minor segment of circle | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Circles\Minor_segment_of_circle
Mathematics | Major segment of circle | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Circles\Major_segment_of_circle
Mathematics | Three mutually tangent circles in triangle ABC | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Triangles_and_Circles\Three_mutually_tangent_circles_in_triangle_ABC
Mathematics | Triangle ABC with point D on BC and altitude AM | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Triangles\Triangle_ABC_with_point_D_on_BC_and_altitude_AM
Mathematics | Circle with diameter AB and perpendicular radius OP | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Circles\Circle_with_diameter_AB_and_perpendicular_radius_OP
Mathematics | Triangle ABC with midpoints P (AB) and Q (BC) | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Triangles\Triangle_ABC_with_midpoints_P__AB__and_Q__BC_
Mathematics | Parabola of the quadratic equation with roots 31 and 29 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Algebra\Parabola_of_the_quadratic_equation_with_roots_31_and_29
Mathematics | Determining B from two simultaneous equations | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Algebra\Determining_B_from_two_simultaneous_equations
Mathematics | Evaluating expression using substitution of variables | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Algebra\Evaluating_expression_using_substitution_of_variables
Mathematics | Solution process for determining n | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Algebra\Solution_process_for_determining_n
Mathematics | Derivation of statements 1 and 2 correctness | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Algebra\Derivation_of_statements_1_and_2_correctness
Mathematics | Rectangular garden with three sides fenced | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Geometry\Rectangular_garden_with_three_sides_fenced
Economics | Employee distribution pie charts 2019 vs 2020 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Statistics\Employee_distribution_pie_charts_2019_vs_2020
Economics | Car production bar chart 2014‑2018 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Statistics\Car_production_bar_chart_2014_2018
Mathematics | Car Production Bar Chart | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Data_Interpretation\Car_Production_Bar_Chart
Mathematics | Percentage Increase Timeline for Companies Y and Z | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Percentage_Increase\Percentage_Increase_Timeline_for_Companies_Y_and_Z
Mathematics | Number Line of Consecutive Integer Sequences | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Sequences\Number_Line_of_Consecutive_Integer_Sequences
Mathematics | Quadratic Equation Roots Graph | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Quadratic_Equations\Quadratic_Equation_Roots_Graph
Mathematics | Digit Interchange Number Problem Illustration | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Number_Theory\Digit_Interchange_Number_Problem_Illustration
Physics | River Boat Speed Diagram | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Physics\Relative_Motion\River_Boat_Speed_Diagram
Mathematics | Father and Children Age Relationship | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Age_Problems\Father_and_Children_Age_Relationship
Mathematics | Compound Interest Doubling and Quadrupling Timeline | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Mathematics\Compound_Interest\Compound_Interest_Doubling_and_Quadrupling_Timeline
Physics | Segmented Speed Journey and Time Difference | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Physics\Kinematics___Average_Speed\Segmented_Speed_Journey_and_Time_Difference
Polity | Sequence ordering for Question 15 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Logical_Sequencing\Sequence_ordering_for_Question_15
Polity | Sequence ordering for Question 16 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Logical_Sequencing\Sequence_ordering_for_Question_16
Polity | Sequence ordering for Question 17 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Logical_Sequencing\Sequence_ordering_for_Question_17
Polity | Sequence ordering for Question 18 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Logical_Sequencing\Sequence_ordering_for_Question_18
Polity | Sequence ordering for Question 19 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Logical_Sequencing\Sequence_ordering_for_Question_19
Polity | Sequence ordering for Question 20 | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Logical_Sequencing\Sequence_ordering_for_Question_20
Environment | Uttarakhand disaster vulnerability map | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Environment\Disaster_Management\Uttarakhand_disaster_vulnerability_map
History | Republic Day march past map | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\National_Celebrations\Republic_Day_march_past_map
Environment | Ideal village illustration | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Environment\Rural_Development\Ideal_village_illustration
Polity | Fill-in-the-Blank Preposition/Verb Selection Flowchart | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Polity\Grammar___Fill_in_the_Blank\Fill_in_the_Blank_Preposition_Verb_Selection_Flowchart
Economics | Survey Respondents Distribution | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Consumer_Behaviour_Survey\Survey_Respondents_Distribution
Economics | Movement Along Demand Curve | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Economics\Demand_Curve_Movements\Movement_Along_Demand_Curve
History | Illustration of Prayaga Prashasti Inscription | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\History\Ancient_Inscriptions\Illustration_of_Prayaga_Prashasti_Inscription
Geography | Banaras Hindu University Campus Illustration | C:\Users\Trayodh Khandalkar\.gemini\antigravity-ide\scratch\defence-exams-revision\diagrams\Geography\Educational_Institutions\Banaras_Hindu_University_Campus_Illustration
